Time,Misoperation,Motor current state,Brake,Motor temperature,System fault light,Braking system fault display,Accelerator opening,High Voltage Detection Complete Flag,low-voltage power-off request flag,current motor speed,current motor torque,DC bus voltage,DC bus current,Motor phase current (effective value),Motor maximum drive torque,Motor maximum braking torque,Speed signal,Active drive,Drive Motor Output Power MCU Part Number,Accelerator pedal voltage,Gear switch A voltage,Gear switch B voltage,Gear switch C voltage,Gear switch D voltage,Total number of drive motors,Drive motor serial number,Total number of drive motor failures,Battery voltage,Slow charge wakeup signal,Vehicle model,Power Battery Positive Relay Current Control Command Status,Power Battery Precharge Relay Current Control Command Status,SOC (State of charge),Current status allows maximum feedback power,Current status allows maximum discharge power,BMS self-test counter,Power battery internal total voltage V1,Power battery charge/discharge current,Power battery external total voltage V2,Power battery load voltage V3,Single cell core voltage,Single cell minimum voltage,Power battery positive to GND insulation resistance,Power Battery Negative Resistance to GND Insulation Resistance,Single cell temperature,Single cell minimum temperature,Power battery available energy,Power battery available capacity,Effective cell voltage,Effective temperature collection points,DCDC current status,Slow charge CC voltage,Low battery alert,Driving range ,Mileage value,Prohibited high-voltage power-on flag,Vehicle bootloader flag,On-board charger output voltage instruction,Car charger output current instruction,Car Charger Work Instruction,Car Charger Network Status Control Command,charging ,Power Battery Heater Relay Instruction,High voltage power-down request (VCU) charge self-test counter,High-voltage power-down request (charging),Remote refresh mode enable command,System fault light_BMS,Power Battery System Fault Indicator VCU ,Troubleshooting Level,Collision signal status,Operating mode,Battery pack 1 monomer minimum number,Battery pack 1 monomer maximum number,Battery pack 1 maximum temperature,Battery pack 1 minimum temperature,Temperature sensor 1,Temperature sensor 2,Temperature sensor 3,Temperature sensor 4,Temperature sensor 5,Temperature sensor 6,Temperature sensor 7,Temperature sensor 8,Temperature sensor 9,total milage,The current status of car charger,Car Charge Wakeup Output Signal Status,Slow charge gun connection status,Charging mode,Power supply equipment status,Charger output current,Charger output voltage,Speed,Power battery pack number,Power battery pack number length,Power battery subsystem number,Total number of battery cells,Power battery temperature point total,Total battery power failure,cell voltage nr. 1,cell voltage nr. 2,cell voltage nr. 3,cell voltage nr. 4,cell voltage nr. 5,cell voltage nr. 6,cell voltage nr. 7,cell voltage nr. 8,cell voltage nr. 9,cell voltage nr. 10,cell voltage nr. 11,cell voltage nr. 12,cell voltage nr. 13,cell voltage nr. 14,cell voltage nr. 15,cell voltage nr. 16,cell voltage nr. 17,cell voltage nr. 18,cell voltage nr. 19,cell voltage nr. 20,cell voltage nr. 21,cell voltage nr. 22,cell voltage nr. 23,cell voltage nr. 24,cell voltage nr. 25,cell voltage nr. 26,cell voltage nr. 27,cell voltage nr. 28,cell voltage nr. 29,cell voltage nr. 30,cell voltage nr. 31,Maximum unit voltage number,Maximum temperature number,Lowest temperature number,Lowest cell voltage number,Maximum unit voltage package number,Maximum temperature package number,Minimum temperature package number,Lowest monomer voltage package number
2016/03/24 12:04:47.000.,0,1,1,22,0,0,0,1,0,99,28.7,122.6,2.12,97.7,150.1,50.02,1.5,1,1.6,0,4.68,4.66,0.44,0.44,1,1,0,13.743,0,2,1,0,97.2,13.73,44.99,3,126.5,5.22,126.5,126.48,4.0885,3.9697,3999,3999,22,21,21.14,167.1,31,9,1,13.4,0,170,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0787,4.0883,4.0808,4.0822,4.0805,4.0836,4.0872,4.0885,4.0695,4.0837,4.0811,4.082,4.0846,4.0858,4.0785,4.0807,4.0877,4.0797,4.0836,4.0817,4.0776,4.0857,4.0852,4.078,3.9697,4.0621,4.0865,4.0882,4.0758,4.0822,4.0792,2,1,6,25,1,1,1,1
2016/03/24 12:04:57.000.,0,1,0,22,0,0,0,1,0,12,32.44,122.7,0.28,84.8,150.1,50.02,0.13,1,1.6,0.02,0.46,4.66,0.46,4.66,1,1,0,13.609,0,2,1,0,97.2,13.71,44.99,3,126.5,5.6,126.5,126.48,4.0891,3.9702,3999,3999,22,21,21.14,167.08,31,9,1,13.3,0,169.9,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0787,4.0887,4.0815,4.0827,4.0813,4.0838,4.0877,4.0891,4.0697,4.0847,4.0815,4.0826,4.0846,4.0858,4.0792,4.0813,4.0885,4.0805,4.0842,4.0821,4.0782,4.086,4.0858,4.0783,3.9702,4.0633,4.0866,4.0885,4.0765,4.0836,4.0803,8,1,6,25,1,1,1,1
2016/03/24 12:05:07.000.,0,1,1,22,0,0,0,1,0,0,28.58,122.6,0,98.4,150.1,50.02,0,1,0.8,0,4.68,4.66,0.44,0.44,1,1,0,13.703,0,2,1,0,97.2,13.68,44.99,3,126.52,4.12,126.52,126.52,4.0886,3.9701,3999,3999,22,21,21.13,167.07,31,9,1,13.4,0,169.9,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0791,4.0885,4.0812,4.0826,4.081,4.0837,4.0872,4.0886,4.0696,4.0841,4.0812,4.0827,4.0846,4.0855,4.0786,4.0811,4.0877,4.0807,4.0838,4.0817,4.0781,4.086,4.0857,4.0777,3.9701,4.0623,4.0865,4.0877,4.0767,4.0832,4.0802,2,1,6,25,1,1,1,1
2016/03/24 12:05:17.000.,0,1,1,22,0,0,0,1,0,0,17.52,122.6,0,85.8,150.1,50.02,0,1,0.8,0,2.06,3.08,0.46,4.66,1,1,0,13.769,0,2,1,0,97.2,13.57,44.99,3,126.52,2.58,126.52,126.52,4.0887,3.97,3999,3999,22,21,21.13,167.05,31,9,1,13.5,0,169.9,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0786,4.0881,4.0805,4.0826,4.0813,4.0842,4.0877,4.0887,4.0701,4.0842,4.0812,4.0825,4.0848,4.0858,4.0788,4.0807,4.0881,4.0802,4.0835,4.0823,4.0781,4.0856,4.0853,4.0782,3.97,4.0626,4.0866,4.0881,4.0761,4.0832,4.0802,2,1,6,25,1,1,1,1
2016/03/24 12:05:27.000.,0,1,1,23,0,0,0,1,0,261,42.72,122.5,8.37,139.9,150.1,50.02,3.96,1,3.2,0.02,0.46,4.66,0.46,4.66,1,1,0,13.783,0,2,1,0,97.2,14.56,44.99,3,126.38,11.08,126.38,126.32,4.0846,3.9657,3999,3999,22,21,21.1,167.02,31,9,1,13.5,0,169.9,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,2,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,3.8,1,30,1,31,9,0,4.0747,4.0842,4.0767,4.0785,4.0771,4.0795,4.0836,4.0846,4.0655,4.0802,4.0775,4.0782,4.0806,4.082,4.0748,4.0772,4.0842,4.0761,4.0798,4.0782,4.0737,4.0822,4.0815,4.0737,3.9657,4.0587,4.083,4.084,4.0722,4.0787,4.0766,2,1,6,25,1,1,1,1
2016/03/24 12:05:37.000.,0,1,0,23,0,0,0,1,0,249,43.88,122.5,8.19,146.9,150.1,50.02,3.73,1,3.2,0.02,0.46,4.66,0.46,4.66,1,1,0,13.836,0,2,1,0,97.2,14.49,44.99,3,126.4,10.26,126.4,126.34,4.0847,3.9656,3999,3999,22,21,21.1,167,31,9,1,13.5,0,169.8,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,0,1,30,1,31,9,0,4.0745,4.0836,4.0767,4.0782,4.0766,4.0793,4.0828,4.0847,4.0656,4.0797,4.077,4.0782,4.0808,4.0817,4.0745,4.0767,4.0832,4.0758,4.0797,4.0782,4.0737,4.0817,4.0815,4.0737,3.9656,4.0585,4.082,4.0836,4.0723,4.0792,4.0757,8,1,6,25,1,1,1,1
2016/03/24 12:05:47.000.,0,1,0,23,0,0,0,1,0,405,26.18,122.5,7.92,90.6,150.1,50.02,6.09,1,4,0.26,0.46,4.66,0.46,4.7,1,1,0,13.676,0,2,1,0,97.2,14.69,44.99,3,126.34,12,126.34,126.32,4.0846,3.9653,3999,3999,22,21,21.09,166.98,31,9,1,13.4,0,169.8,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,5.2,1,30,1,31,9,0,4.0742,4.0836,4.0761,4.0777,4.0765,4.079,4.0828,4.0846,4.065,4.0793,4.0772,4.0778,4.08,4.0811,4.0745,4.0762,4.0832,4.0752,4.0792,4.0775,4.0732,4.0812,4.0808,4.0732,3.9653,4.0577,4.0818,4.0833,4.0717,4.0787,4.0756,8,1,6,25,1,1,1,1
2016/03/24 12:05:57.000.,0,1,0,23,0,0,29.2,1,0,666,48.26,121.9,24.02,144.1,150.1,50.02,10.01,1,11.2,1.64,0.46,4.66,0.46,4.7,1,1,0,13.676,0,2,1,0,97.2,17.19,44.99,3,125.96,36.46,125.96,125.88,4.0741,3.9548,3999,3999,22,21,21.03,166.92,31,9,1,13.4,0,169.8,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,6,1,30,1,31,9,0,4.0647,4.0732,4.0667,4.0676,4.0658,4.0687,4.0725,4.0741,4.055,4.0695,4.0672,4.0675,4.0698,4.0711,4.0633,4.0657,4.0736,4.0652,4.0687,4.0675,4.063,4.0717,4.0711,4.0636,3.9548,4.0476,4.0717,4.0737,4.0617,4.0683,4.0656,8,1,6,25,1,1,1,1
2016/03/24 12:06:07.000.,0,1,1,24,0,0,0,1,0,654,19.64,122.3,9.62,37.4,150.1,50.02,10.05,1,0,0.02,0.46,4.66,0.46,4.66,1,1,0,13.623,0,2,1,0,97.2,15.47,44.99,3,126.26,12.32,126.26,126.24,4.0807,3.9616,3999,3999,22,21,21.06,166.85,31,9,1,13.3,0,169.7,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,12.5,1,30,1,31,9,0,4.0707,4.0797,4.0725,4.0742,4.0725,4.0748,4.0793,4.0807,4.0613,4.0752,4.0731,4.0737,4.0762,4.0776,4.0703,4.0723,4.0796,4.0717,4.0752,4.0737,4.0692,4.0773,4.0775,4.0696,3.9616,4.054,4.0785,4.0798,4.0681,4.0743,4.0717,8,1,6,25,1,1,1,1
2016/03/24 12:06:17.000.,0,1,0,24,0,0,0,1,0,531,11.54,122.3,4.48,53.7,150.1,50.02,8.14,1,4.8,0.02,0.46,4.66,0.46,4.66,1,1,0,13.676,0,2,1,0,96.8,15.81,44.99,3,126.22,13.68,126.22,126.16,4.0791,3.9598,3999,3999,22,21,21.05,166.8,31,9,1,13.4,0,169.6,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,6.2,1,30,1,31,9,0,4.0685,4.0782,4.0712,4.0731,4.0713,4.0741,4.0775,4.0791,4.0597,4.0737,4.0717,4.0727,4.0746,4.0758,4.0687,4.0707,4.0782,4.0701,4.074,4.0723,4.0682,4.0762,4.0758,4.0681,3.9598,4.0528,4.0767,4.0782,4.0667,4.0732,4.0702,8,1,6,25,1,1,1,1
2016/03/24 12:06:27.000.,0,2,1,24,0,0,0,1,0,807,15.32,122.3,9.35,40.8,150.1,50.02,12.47,1,-4,0.02,0.46,4.66,0.46,4.66,1,1,0,13.609,0,2,1,0,96.8,15.74,44.99,3,126.22,11.86,126.22,126.18,4.08,3.9605,3999,3999,22,21,21.04,166.74,31,9,1,13.3,0,169.6,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,13.7,1,30,1,31,9,0,4.0692,4.0788,4.0716,4.073,4.0716,4.0743,4.0782,4.08,4.0606,4.0746,4.0723,4.0727,4.0752,4.0766,4.0695,4.0716,4.0792,4.0708,4.0743,4.0727,4.0685,4.0767,4.0761,4.0685,3.9605,4.053,4.0767,4.0783,4.0672,4.074,4.071,8,1,6,25,1,1,1,1
2016/03/24 12:06:37.000.,0,1,0,24,0,0,52.4,1,0,1305,81.32,120.7,80.69,257.4,150.1,50.02,19.71,1,34.4,2.54,0.46,4.66,0.46,4.7,1,1,0,13.676,0,2,1,0,96.8,22.33,44.99,3,124.76,103.32,124.76,124.66,4.0408,3.9187,3999,3999,22,21,20.81,166.66,31,9,1,13.4,0,169.5,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,14.5,1,30,1,31,9,0,4.0302,4.038,4.0322,4.0333,4.0303,4.0337,4.0376,4.0408,4.0202,4.0337,4.0341,4.0317,4.035,4.0361,4.0283,4.0293,4.0382,4.0302,4.034,4.0321,4.0268,4.0372,4.037,4.0277,3.9187,4.0122,4.0373,4.0382,4.0273,4.0333,4.0315,8,1,6,25,1,1,1,1
2016/03/24 12:06:47.000.,0,1,0,25,0,0,35.2,1,0,3096,54.98,120,121.2,177.8,150.1,50.02,46.47,1,44.8,1.86,0.46,4.66,0.46,4.7,1,1,0,13.689,0,2,1,0,96.8,22.33,44.99,3,123.94,132.62,123.94,123.86,4.0148,3.8912,3999,3999,22,21,20.62,166.39,31,9,1,13.4,0,169.3,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,44.2,1,30,1,31,9,0,4.0045,4.0116,4.0063,4.0061,4.0037,4.0072,4.0108,4.0148,3.9941,4.0066,4.0082,4.0051,4.0083,4.0092,4.0017,4.0027,4.012,4.0032,4.0076,4.0046,4,4.011,4.0106,4.0016,3.8912,3.9857,4.0108,4.0116,4.0002,4.007,4.0048,8,1,6,25,1,1,1,1
2016/03/24 12:06:57.000.,0,1,0,25,0,0,13.6,1,0,2682,23.26,121.5,33.26,76.5,150.1,50.02,40.64,1,12,1.04,0.46,4.66,0.46,4.7,1,1,0,13.689,0,2,1,0,96.8,20.36,44.99,3,125.54,37.68,125.54,125.5,4.0607,3.9405,3999,3999,22,21,20.87,166.25,31,9,1,13.4,0,169.1,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,41,1,30,1,31,9,0,4.0502,4.0592,4.0527,4.0535,4.0518,4.0548,4.0582,4.0607,4.0408,4.0551,4.0532,4.0532,4.0558,4.0563,4.0497,4.0516,4.0593,4.0513,4.0552,4.0526,4.0482,4.0572,4.0572,4.0493,3.9405,4.0341,4.0576,4.0588,4.0477,4.0547,4.0515,8,1,6,25,1,1,1,1
2016/03/24 12:07:07.000.,0,1,0,26,0,0,33.6,1,0,3219,54.94,119.2,118.26,166.6,150.1,50.02,49.07,1,43.2,1.8,0.46,4.66,0.46,4.7,1,1,0,13.689,0,2,1,0,96.4,22.33,44.99,3,123.92,128.66,123.92,123.86,4.0152,3.8915,3999,3999,22,21,20.58,166.07,31,9,1,13.4,0,168.9,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17279,0,1,1,0,4,0,0,46.7,1,30,1,31,9,0,4.005,4.0123,4.0063,4.0067,4.0037,4.0075,4.011,4.0152,3.9937,4.0072,4.009,4.0062,4.0083,4.0098,4.0016,4.0032,4.0125,4.0038,4.0077,4.0052,4.0006,4.0116,4.0112,4.0018,3.8915,3.9862,4.011,4.012,4.0007,4.0073,4.0053,8,1,6,25,1,1,1,1
2016/03/24 12:07:17.000.,0,1,0,26,0,0,36.4,1,0,4410,36.72,119.5,108.51,142.7,150.1,50.02,66.86,1,40,1.92,0.46,4.66,0.46,4.7,1,1,0,13.689,0,2,1,0,96.4,22.33,44.99,3,123.68,116.14,123.68,123.62,4.0022,3.8775,3999,3999,22,21,20.47,165.67,31,9,1,13.4,0,168.6,170,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,25,8,22,21,22,22,22,22,22,21,22,22,22,17280,0,1,1,0,4,0,0,65.2,1,30,1,31,9,0,3.9905,3.9985,3.9935,3.9926,3.9902,3.9937,3.9972,4.0022,3.9806,3.993,3.9953,3.9917,3.9956,3.9951,3.988,3.9887,3.999,3.9906,3.9942,3.9918,3.9873,3.9977,3.9972,3.9882,3.8775,3.9722,3.9972,3.9982,3.9878,3.9936,3.9917,8,1,6,25,1,1,1,1
